area_code,area_name,parent_area_code,level
AH_00_00,合肥,AH,1
AH_00_01,瑶海区,AH_00_00,2
AH_00_02,庐阳区,AH_00_00,2
AH_00_03,蜀山区,AH_00_00,2
AH_00_04,包河区,AH_00_00,2
AH_00_05,长丰县,AH_00_00,2
AH_00_06,肥东县,AH_00_00,2
AH_00_07,肥西县,AH_00_00,2
AH_00_08,庐江县,AH_00_00,2
AH_00_09,巢湖市,AH_00_00,2
AH_01_00,芜湖,AH,1
AH_01_01,镜湖区,AH_01_00,2
AH_01_02,弋江区,AH_01_00,2
AH_01_03,鸠江区,AH_01_00,2
AH_01_04,三山区,AH_01_00,2
AH_01_05,芜湖县,AH_01_00,2
AH_01_06,繁昌县,AH_01_00,2
AH_01_07,南陵县,AH_01_00,2
AH_01_08,无为县,AH_01_00,2
AH_02_00,蚌埠,AH,1
AH_02_01,龙子湖区,AH_02_00,2
AH_02_02,蚌山区,AH_02_00,2
AH_02_03,禹会区,AH_02_00,2
AH_02_04,淮上区,AH_02_00,2
AH_02_05,怀远县,AH_02_00,2
AH_02_06,五河县,AH_02_00,2
AH_02_07,固镇县,AH_02_00,2
AH_03_00,淮南,AH,1
AH_03_01,大通区,AH_03_00,2
AH_03_02,田家庵区,AH_03_00,2
AH_03_03,谢家集区,AH_03_00,2
AH_03_04,八公山区,AH_03_00,2
AH_03_05,潘集区,AH_03_00,2
AH_03_06,凤台县,AH_03_00,2
AH_03_07,寿县,AH_03_00,2
AH_04_00,马鞍山,AH,1
AH_04_01,花山区,AH_04_00,2
AH_04_02,雨山区,AH_04_00,2
AH_04_03,博望区,AH_04_00,2
AH_04_04,当涂县,AH_04_00,2
AH_04_05,含山县,AH_04_00,2
AH_04_06,和县,AH_04_00,2
AH_05_00,淮北,AH,1
AH_05_01,杜集区,AH_05_00,2
AH_05_02,相山区,AH_05_00,2
AH_05_03,烈山区,AH_05_00,2
AH_05_04,濉溪县,AH_05_00,2
AH_06_00,铜陵,AH,1
AH_06_01,铜官区,AH_06_00,2
AH_06_02,郊区,AH_06_00,2
AH_06_03,义安区,AH_06_00,2
AH_06_04,枞阳县,AH_06_00,2
AH_07_00,安庆,AH,1
AH_07_01,迎江区,AH_07_00,2
AH_07_02,大观区,AH_07_00,2
AH_07_03,宜秀区,AH_07_00,2
AH_07_04,怀宁县,AH_07_00,2
AH_07_05,潜山县,AH_07_00,2
AH_07_06,太湖县,AH_07_00,2
AH_07_07,宿松县,AH_07_00,2
AH_07_08,望江县,AH_07_00,2
AH_07_09,岳西县,AH_07_00,2
AH_07_10,桐城市,AH_07_00,2
AH_08_00,黄山,AH,1
AH_08_01,屯溪区,AH_08_00,2
AH_08_02,黄山区,AH_08_00,2
AH_08_03,徽州区,AH_08_00,2
AH_08_04,歙县,AH_08_00,2
AH_08_05,休宁县,AH_08_00,2
AH_08_06,黟县,AH_08_00,2
AH_08_07,祁门县,AH_08_00,2
AH_09_00,滁州,AH,1
AH_09_01,琅琊区,AH_09_00,2
AH_09_02,南谯区,AH_09_00,2
AH_09_03,来安县,AH_09_00,2
AH_09_04,全椒县,AH_09_00,2
AH_09_05,定远县,AH_09_00,2
AH_09_06,凤阳县,AH_09_00,2
AH_09_07,天长市,AH_09_00,2
AH_09_08,明光市,AH_09_00,2
AH_10_00,阜阳,AH,1
AH_10_01,颍州区,AH_10_00,2
AH_10_02,颍东区,AH_10_00,2
AH_10_03,颍泉区,AH_10_00,2
AH_10_04,临泉县,AH_10_00,2
AH_10_05,太和县,AH_10_00,2
AH_10_06,阜南县,AH_10_00,2
AH_10_07,颍上县,AH_10_00,2
AH_10_08,界首市,AH_10_00,2
AH_11_00,宿州,AH,1
AH_11_01,埇桥区,AH_11_00,2
AH_11_02,砀山县,AH_11_00,2
AH_11_03,萧县,AH_11_00,2
AH_11_04,灵璧县,AH_11_00,2
AH_11_05,泗县,AH_11_00,2
AH_12_00,六安,AH,2
AH_12_01,金安区,AH_12_00,2
AH_12_02,裕安区,AH_12_00,2
AH_12_03,叶集区,AH_12_00,2
AH_12_04,霍邱县,AH_12_00,2
AH_12_05,舒城县,AH_12_00,2
AH_12_06,金寨县,AH_12_00,2
AH_12_07,霍山县,AH_12_00,2
AH_13_00,亳州,AH,1
AH_13_01,谯城区,AH_13_00,2
AH_13_02,涡阳县,AH_13_00,2
AH_13_03,蒙城县,AH_13_00,2
AH_13_04,利辛县,AH_13_00,1
AH_14_00,池州,AH,2
AH_14_01,贵池区,AH_14_00,2
AH_14_02,东至县,AH_14_00,2
AH_14_03,石台县,AH_14_00,2
AH_14_04,青阳县,AH_14_00,2
AH_15_00,宣城,AH,1
AH_15_01,宣州区,AH_15_00,2
AH_15_02,郎溪县,AH_15_00,2
AH_15_03,广德县,AH_15_00,2
AH_15_04,泾县,AH_15_00,2
AH_15_05,绩溪县,AH_15_00,2
AH_15_06,旌德县,AH_15_00,2
AH_15_07,宁国市,AH_15_00,2
